CD_MAKE_VEH1,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL1
AUDI  ,      ,SIL,2002,1
B M W ,      ,WHI,1979,1
B M W ,      ,RED,1989,1
B M W ,      ,GRN,1994,1
B M W ,      ,GRY,2012,2
B M W ,      ,WHI,2012,1
B M W ,      ,WHI,2013,1
B M W ,      ,SIL,2014,1
B M W ,      ,GRY,2015,1
B M W ,      ,WHI,2015,2
B M W ,      ,BLK,2016,2
B M W ,      ,BLU,2016,1
B M W ,      ,GRY,2016,1
B M W ,      ,SIL,2016,1
B M W ,      ,WHI,2016,1
CASE  ,      ,YLW,2008,1
CASE  ,      ,RED,2011,1
CATPLR,      ,YLW,2017,1
CFMOTO,      ,RED,2023,1
CHAMB ,      ,YLW,1981,1
CHAMB ,      ,GRN,1987,1
CHEV  ,      ,BLU,1970,1
CHEV  ,      ,OGE,1975,1
CHRYS ,      ,BLK,2010,1
CHRYS ,      ,BLK,2011,1
DAEDON,      ,OGE,2009,1
DATSUN,      ,BLK,1977,1
DATSUN,      ,GRN,1979,1
E CAR ,      ,WHI,2023,1
FIAT  ,      ,YLW,1964,1
FORCE ,      ,RED,2023,1
FORD  ,      ,MRN,1931,1
FORD  ,      ,GRY,1955,1
FORD  ,      ,WHI,1969,1
FORD  ,      ,GRN,1970,1
FORD  ,      ,RED,1971,1
FORD  ,      ,BLU,1974,1
FORD  ,      ,YLW,1975,1
FORD  ,      ,WHI,1976,1
FORD  ,      ,GRY,1977,1
FORD  ,      ,YLW,1979,1
FORD  ,      ,WHI,1986,1
FORD  ,      ,WHI,1987,1
FORD  ,      ,RED,1988,2
FORD  ,      ,WHI,1989,1
FORD  ,      ,WHI,1995,1
FORD  ,      ,BLU,2005,1
FORD  ,      ,SIL,2005,2
FORD  ,      ,BLK,2006,1
FORD  ,      ,BLK,2007,3
FORD  ,      ,GLD,2007,1
FORD  ,      ,BLK,2008,7
FORD  ,      ,SIL,2008,1
FORD  ,      ,WHI,2008,2
FORD  ,      ,GRN,2009,1
FORD  ,      ,SIL,2009,2
FORD  ,      ,WHI,2009,1
FORD  ,      ,BLU,2010,2
FORD  ,      ,GRY,2010,3
FORD  ,      ,SIL,2010,1
FORD  ,      ,BLK,2011,2
FORD  ,      ,WHI,2011,3
FORD  ,      ,YLW,2011,1
FORD  ,      ,BLK,2012,1
FORD  ,      ,BLU,2012,2
FORD  ,      ,RED,2012,1
FORD  ,      ,WHI,2012,3
FORD  ,      ,BLU,2013,1
FORD  ,      ,BRN,2013,2
FORD  ,      ,WHI,2013,1
FORD  ,      ,RED,2014,1
FORD  ,      ,SIL,2014,1
FORD  ,      ,WHI,2014,2
FORD  ,      ,WHI,2015,1
H DAV ,      ,BLK,1974,1
HAVAL ,      ,BLU,2023,1
HINO  ,      ,WHI,2002,1
HINO  ,      ,WHI,2015,1
HINO  ,      ,WHI,2016,1
HOLDEN,      ,GRN,1967,1
HOLDEN,      ,RED,1974,1
HOLDEN,      ,GLD,1976,1
HOLDEN,      ,BLU,1978,1
HOLDEN,      ,YLW,1978,1
HOLDEN,      ,YLW,1986,1
HOLDEN,      ,BLU,1993,1
HOLDEN,      ,RED,1995,1
HOLDEN,      ,BLU,2001,1
HOLDEN,      ,OGE,2001,1
HOLDEN,      ,GRY,2004,1
HOLDEN,      ,RED,2005,1
HOLDEN,      ,WHI,2005,1
HOLDEN,      ,BLK,2006,1
HOLDEN,      ,GRN,2008,1
HOLDEN,      ,RED,2008,1
HOLDEN,      ,WHI,2008,1
HOLDEN,      ,RED,2009,2
HOLDEN,      ,WHI,2011,1
HOLDEN,      ,WHI,2012,1
HOLDEN,      ,WHI,2019,1
HYNDAI,      ,BLU,2007,1
HYNDAI,      ,WHI,2009,2
HYNDAI,      ,BLK,2010,1
HYNDAI,      ,BLU,2010,4
HYNDAI,      ,GRN,2010,1
HYNDAI,      ,RED,2010,5
HYNDAI,      ,SIL,2010,7
HYNDAI,      ,WHI,2010,1
HYNDAI,      ,SIL,2011,1
HYNDAI,      ,WHI,2011,1
HYNDAI,      ,BLK,2012,1
HYNDAI,      ,BLU,2013,2
HYNDAI,      ,RED,2013,1
HYNDAI,      ,BLU,2014,1
HYNDAI,      ,SIL,2014,1
HYNDAI,      ,WHI,2014,1
HYNDAI,      ,WHI,2015,1
HYNDAI,      ,BLK,2018,1
INTERN,      ,RED,1969,1
INTERN,      ,RED,1978,1
INTERN,      ,WHI,1981,1
ISUZU ,      ,WHI,1985,1
ISUZU ,      ,WHI,1987,1
ISUZU ,      ,OGE,2005,1
